gene_name,gene_id,start,end,chromosome,chromosome_nc
LOC103238793,gene-LOC103238793,1874457,1875605,chr1,NC_023642.1
LOC103238863,gene-LOC103238863,1929243,1931572,chr1,NC_023642.1
IGF2,gene-IGF2,1937414,1951238,chr1,NC_023642.1
LOC103241858,gene-LOC103241858,1940615,1964476,chr1,NC_023642.1
INS,gene-INS,1965128,1969090,chr1,NC_023642.1
TH,gene-TH,1969194,1977263,chr1,NC_023642.1
LOC103239289,gene-LOC103239289,1980901,1987360,chr1,NC_023642.1
ASCL2,gene-ASCL2,2075629,2080462,chr1,NC_023642.1
C1H11orf21,gene-C1H11orf21,2106099,2110188,chr1,NC_023642.1
TSPAN32,gene-TSPAN32,2110218,2125839,chr1,NC_023642.1
LOC103239446,gene-LOC103239446,2114407,2116829,chr1,NC_023642.1
CD81,gene-CD81,2190896,2211838,chr1,NC_023642.1
TSSC4,gene-TSSC4,2215375,2218808,chr1,NC_023642.1
TRPM5,gene-TRPM5,2219427,2239833,chr1,NC_023642.1
KCNQ1,gene-KCNQ1,2261448,2661840,chr1,NC_023642.1
LOC103241028,gene-LOC103241028,2331350,2332963,chr1,NC_023642.1
LOC103240971,gene-LOC103240971,2493454,2502960,chr1,NC_023642.1
LOC103241221,gene-LOC103241221,2680187,2684930,chr1,NC_023642.1
CDKN1C,gene-CDKN1C,2696382,2699054,chr1,NC_023642.1
SLC22A18AS,gene-SLC22A18AS,2699447,2712766,chr1,NC_023642.1
SLC22A18,gene-SLC22A18,2712792,2737874,chr1,NC_023642.1
PHLDA2,gene-PHLDA2,2741039,2743107,chr1,NC_023642.1
LOC103242002,gene-LOC103242002,2755722,2756946,chr1,NC_023642.1
NAP1L4,gene-NAP1L4,2756859,2802751,chr1,NC_023642.1
CARS,gene-CARS,2812169,2871835,chr1,NC_023642.1
LOC103242208,gene-LOC103242208,2850005,2851216,chr1,NC_023642.1
LOC103242168,gene-LOC103242168,2862778,2863145,chr1,NC_023642.1
LOC103242043,gene-LOC103242043,2870160,2871723,chr1,NC_023642.1
OSBPL5,gene-OSBPL5,2903630,2985565,chr1,NC_023642.1
LOC103241863,gene-LOC103241863,2963631,2986895,chr1,NC_023642.1
LOC103242726,gene-LOC103242726,3015301,3025842,chr1,NC_023642.1
MRGPRG,gene-MRGPRG,3035191,3038635,chr1,NC_023642.1
LOC103242785,gene-LOC103242785,3039400,3040482,chr1,NC_023642.1
MRGPRE,gene-MRGPRE,3041908,3049499,chr1,NC_023642.1
LOC103242972,gene-LOC103242972,3064464,3083453,chr1,NC_023642.1
ZNF195,gene-ZNF195,3086113,3112017,chr1,NC_023642.1
LOC103241864,gene-LOC103241864,3120043,3127993,chr1,NC_023642.1
LOC103241868,gene-LOC103241868,3132837,3134956,chr1,NC_023642.1
LOC103241874,gene-LOC103241874,3168846,3170189,chr1,NC_023642.1
LOC103243359,gene-LOC103243359,3174627,3177792,chr1,NC_023642.1
NADSYN1,gene-NADSYN1,3189054,3243087,chr1,NC_023642.1
DHCR7,gene-DHCR7,3243263,3257332,chr1,NC_023642.1
LOC103244038,gene-LOC103244038,3263174,3268718,chr1,NC_023642.1
LOC103244089,gene-LOC103244089,3268730,3309975,chr1,NC_023642.1
LOC103244329,gene-LOC103244329,3324453,3329134,chr1,NC_023642.1
LOC103244373,gene-LOC103244373,3421075,3422279,chr1,NC_023642.1
LOC103244990,gene-LOC103244990,3424926,3460647,chr1,NC_023642.1
SHANK2,gene-SHANK2,3453268,4104515,chr1,NC_023642.1
LOC103244580,gene-LOC103244580,3687007,3688080,chr1,NC_023642.1
LOC103244535,gene-LOC103244535,3690506,3691266,chr1,NC_023642.1
LOC103244421,gene-LOC103244421,3874561,3875497,chr1,NC_023642.1
CTTN,gene-CTTN,4139045,4176962,chr1,NC_023642.1
LOC103245420,gene-LOC103245420,4144209,4146010,chr1,NC_023642.1
LOC103245379,gene-LOC103245379,4176540,4188281,chr1,NC_023642.1
PPFIA1,gene-PPFIA1,4184592,4302677,chr1,NC_023642.1
LOC103245132,gene-LOC103245132,4207318,4207856,chr1,NC_023642.1
LOC103245088,gene-LOC103245088,4213234,4215584,chr1,NC_023642.1
LOC103245679,gene-LOC103245679,4341269,4343492,chr1,NC_023642.1
FADD,gene-FADD,4358314,4361863,chr1,NC_023642.1
LOC103245724,gene-LOC103245724,4361672,4362415,chr1,NC_023642.1
ANO1,gene-ANO1,4373256,4581914,chr1,NC_023642.1
LOC103245820,gene-LOC103245820,4483674,4496614,chr1,NC_023642.1
FGF3,gene-FGF3,4746195,4755654,chr1,NC_023642.1
FGF4,gene-FGF4,4786296,4791441,chr1,NC_023642.1
FGF19,gene-FGF19,4852289,4860139,chr1,NC_023642.1
LOC103246443,gene-LOC103246443,4879341,4884252,chr1,NC_023642.1
ORAOV1,gene-ORAOV1,4888769,4900379,chr1,NC_023642.1
CCND1,gene-CCND1,4909616,4922272,chr1,NC_023642.1
LOC103247017,gene-LOC103247017,5100690,5110533,chr1,NC_023642.1
LOC103247076,gene-LOC103247076,5180902,5181877,chr1,NC_023642.1
MYEOV,gene-MYEOV,5268229,5269105,chr1,NC_023642.1
LOC103247204,gene-LOC103247204,5313149,5354109,chr1,NC_023642.1
LOC103247706,gene-LOC103247706,5465425,5466769,chr1,NC_023642.1
TPCN2,gene-TPCN2,5491476,5529015,chr1,NC_023642.1
LOC103247781,gene-LOC103247781,5555636,5559155,chr1,NC_023642.1
MRGPRF,gene-MRGPRF,5559186,5569839,chr1,NC_023642.1
LOC103248150,gene-LOC103248150,5578327,5597564,chr1,NC_023642.1
MRGPRD,gene-MRGPRD,5591179,5593796,chr1,NC_023642.1
IGHMBP2,gene-IGHMBP2,5619138,5655033,chr1,NC_023642.1
LOC103248293,gene-LOC103248293,5627770,5628462,chr1,NC_023642.1
LOC103248244,gene-LOC103248244,5630661,5631478,chr1,NC_023642.1
MRPL21,gene-MRPL21,5655043,5667452,chr1,NC_023642.1
LOC103248420,gene-LOC103248420,5683538,5692915,chr1,NC_023642.1
LOC103248586,gene-LOC103248586,5702790,5703764,chr1,NC_023642.1
LOC103241878,gene-LOC103241878,5703798,5719912,chr1,NC_023642.1
CPT1A,gene-CPT1A,5704275,5784077,chr1,NC_023642.1
MTL5,gene-MTL5,5788231,5834900,chr1,NC_023642.1
GAL,gene-GAL,5849947,5857355,chr1,NC_023642.1
LOC103248684,gene-LOC103248684,5857097,5857824,chr1,NC_023642.1
PPP6R3,gene-PPP6R3,5920097,6073847,chr1,NC_023642.1
LRP5,gene-LRP5,6090048,6224956,chr1,NC_023642.1
LOC103214741,gene-LOC103214741,6163637,6168104,chr1,NC_023642.1
LOC103214713,gene-LOC103214713,6212097,6213290,chr1,NC_023642.1
C1H11orf24,gene-C1H11orf24,6261118,6272953,chr1,NC_023642.1
SUV420H1,gene-SUV420H1,6308565,6367272,chr1,NC_023642.1
CHKA,gene-CHKA,6411606,6482508,chr1,NC_023642.1
TCIRG1,gene-TCIRG1,6484469,6497008,chr1,NC_023642.1
NDUFS8,gene-NDUFS8,6499371,6505685,chr1,NC_023642.1
ALDH3B1,gene-ALDH3B1,6507668,6533630,chr1,NC_023642.1
UNC93B1,gene-UNC93B1,6537198,6549457,chr1,NC_023642.1
ALDH3B2,gene-ALDH3B2,6594240,6607230,chr1,NC_023642.1
LOC103216261,gene-LOC103216261,6623195,6640000,chr1,NC_023642.1
NUDT8,gene-NUDT8,6641316,6643353,chr1,NC_023642.1
LOC103216432,gene-LOC103216432,6646588,6650438,chr1,NC_023642.1
NDUFV1,gene-NDUFV1,6650547,6656185,chr1,NC_023642.1
GSTP1,gene-GSTP1,6676897,6679936,chr1,NC_023642.1
LOC103216792,gene-LOC103216792,6718741,6721961,chr1,NC_023642.1
CABP2,gene-CABP2,6741202,6744931,chr1,NC_023642.1
CDK2AP2,gene-CDK2AP2,6756853,6759087,chr1,NC_023642.1
PITPNM1,gene-PITPNM1,6760208,6774006,chr1,NC_023642.1
AIP,gene-AIP,6774648,6783095,chr1,NC_023642.1
TMEM134,gene-TMEM134,6794195,6799206,chr1,NC_023642.1
CABP4,gene-CABP4,6804761,6810277,chr1,NC_023642.1
GPR152,gene-GPR152,6810791,6814497,chr1,NC_023642.1
CORO1B,gene-CORO1B,6820298,6825778,chr1,NC_023642.1
PTPRCAP,gene-PTPRCAP,6825821,6828305,chr1,NC_023642.1
RPS6KB2,gene-RPS6KB2,6828413,6836176,chr1,NC_023642.1
CARNS1,gene-CARNS1,6838960,6849542,chr1,NC_023642.1
TBC1D10C,gene-TBC1D10C,6854259,6860709,chr1,NC_023642.1
PPP1CA,gene-PPP1CA,6862536,6866212,chr1,NC_023642.1
RAD9A,gene-RAD9A,6865990,6945179,chr1,NC_023642.1
CLCF1,gene-CLCF1,6890751,6900370,chr1,NC_023642.1
POLD4,gene-POLD4,6910044,6912134,chr1,NC_023642.1
SSH3,gene-SSH3,6951130,6960445,chr1,NC_023642.1
ANKRD13D,gene-ANKRD13D,6960539,6972456,chr1,NC_023642.1
ADRBK1,gene-ADRBK1,6975202,6995369,chr1,NC_023642.1
KDM2A,gene-KDM2A,7004109,7152072,chr1,NC_023642.1
LOC103219355,gene-LOC103219355,7152568,7159149,chr1,NC_023642.1
LOC103219529,gene-LOC103219529,7159307,7162793,chr1,NC_023642.1
RHOD,gene-RHOD,7196999,7215239,chr1,NC_023642.1
SYT12,gene-SYT12,7222090,7248406,chr1,NC_023642.1
C1H11orf86,gene-C1H11orf86,7286315,7288261,chr1,NC_023642.1
PC,gene-PC,7310738,7418357,chr1,NC_023642.1
LRFN4,gene-LRFN4,7406502,7409707,chr1,NC_023642.1
LOC103220516,gene-LOC103220516,7420221,7526495,chr1,NC_023642.1
LOC103220338,gene-LOC103220338,7513161,7516197,chr1,NC_023642.1
SPTBN2,gene-SPTBN2,7543035,7588125,chr1,NC_023642.1
LOC103221555,gene-LOC103221555,7589406,7590936,chr1,NC_023642.1
RBM4B,gene-RBM4B,7594565,7607824,chr1,NC_023642.1
RBM4,gene-RBM4,7604440,7638536,chr1,NC_023642.1
LOC103221763,gene-LOC103221763,7649975,7665531,chr1,NC_023642.1
CCS,gene-CCS,7670137,7686389,chr1,NC_023642.1
CCDC87,gene-CCDC87,7686514,7689390,chr1,NC_023642.1
CTSF,gene-CTSF,7703584,7708709,chr1,NC_023642.1
LOC103222397,gene-LOC103222397,7708595,7724634,chr1,NC_023642.1
ZDHHC24,gene-ZDHHC24,7725246,7732848,chr1,NC_023642.1
BBS1,gene-BBS1,7737887,7765022,chr1,NC_023642.1
DPP3,gene-DPP3,7766110,7797152,chr1,NC_023642.1
PELI3,gene-PELI3,7800430,7811226,chr1,NC_023642.1
LOC103222589,gene-LOC103222589,7811313,7825094,chr1,NC_023642.1
MRPL11,gene-MRPL11,7844554,7847201,chr1,NC_023642.1
NPAS4,gene-NPAS4,7856222,7874812,chr1,NC_023642.1
SLC29A2,gene-SLC29A2,7904813,7914344,chr1,NC_023642.1
LOC103223043,gene-LOC103223043,7916896,7917151,chr1,NC_023642.1
TRNAS-GCU,gene-TRNAS-GCU,7929205,7929286,chr1,NC_023642.1
B3GNT1,gene-B3GNT1,7929712,7932034,chr1,NC_023642.1
BRMS1,gene-BRMS1,7932276,7940144,chr1,NC_023642.1
RIN1,gene-RIN1,7940856,7945419,chr1,NC_023642.1
CD248,gene-CD248,7958583,7961159,chr1,NC_023642.1
TMEM151A,gene-TMEM151A,7970012,7974954,chr1,NC_023642.1
YIF1A,gene-YIF1A,7977690,7982313,chr1,NC_023642.1
CNIH2,gene-CNIH2,7982685,7988834,chr1,NC_023642.1
RAB1B,gene-RAB1B,7989521,7998371,chr1,NC_023642.1
KLC2,gene-KLC2,7999113,8009543,chr1,NC_023642.1
LOC103224576,gene-LOC103224576,8022930,8024377,chr1,NC_023642.1
PACS1,gene-PACS1,8023496,8188192,chr1,NC_023642.1
SF3B2,gene-SF3B2,8189636,8207024,chr1,NC_023642.1
GAL3ST3,gene-GAL3ST3,8210003,8217503,chr1,NC_023642.1
CATSPER1,gene-CATSPER1,8231436,8241189,chr1,NC_023642.1
CST6,gene-CST6,8244483,8246551,chr1,NC_023642.1
BANF1,gene-BANF1,8254186,8255571,chr1,NC_023642.1
EIF1AD,gene-EIF1AD,8255904,8259278,chr1,NC_023642.1
LOC103225234,gene-LOC103225234,8274661,8276522,chr1,NC_023642.1
SART1,gene-SART1,8279821,8296282,chr1,NC_023642.1
TSGA10IP,gene-TSGA10IP,8297479,8314162,chr1,NC_023642.1
DRAP1,gene-DRAP1,8336085,8338393,chr1,NC_023642.1
C1H11orf68,gene-C1H11orf68,8338524,8340838,chr1,NC_023642.1
FOSL1,gene-FOSL1,8356263,8365606,chr1,NC_023642.1
CCDC85B,gene-CCDC85B,8366166,8367670,chr1,NC_023642.1
FIBP,gene-FIBP,8369279,8374246,chr1,NC_023642.1
CTSW,gene-CTSW,8374426,8378496,chr1,NC_023642.1
EFEMP2,gene-EFEMP2,8384212,8391501,chr1,NC_023642.1
LOC103226570,gene-LOC103226570,8393897,8394528,chr1,NC_023642.1
SNX32,gene-SNX32,8394618,8426155,chr1,NC_023642.1
LOC103226393,gene-LOC103226393,8405652,8408060,chr1,NC_023642.1
CFL1,gene-CFL1,8408560,8410564,chr1,NC_023642.1
LOC103226358,gene-LOC103226358,8409972,8410294,chr1,NC_023642.1
MUS81,gene-MUS81,8410571,8411793,chr1,NC_023642.1
LOC103225990,gene-LOC103225990,8426336,8458820,chr1,NC_023642.1
LOC103226718,gene-LOC103226718,8467048,8470018,chr1,NC_023642.1
OVOL1,gene-OVOL1,8470065,8480406,chr1,NC_023642.1
AP5B1,gene-AP5B1,8484076,8487635,chr1,NC_023642.1
RNASEH2C,gene-RNASEH2C,8526761,8535984,chr1,NC_023642.1
KAT5,gene-KAT5,8528097,8544512,chr1,NC_023642.1
LOC103226939,gene-LOC103226939,8539764,8561199,chr1,NC_023642.1
RELA,gene-RELA,8576059,8585561,chr1,NC_023642.1
SIPA1,gene-SIPA1,8588221,8601310,chr1,NC_023642.1
PCNXL3,gene-PCNXL3,8601944,8625289,chr1,NC_023642.1
LOC103227710,gene-LOC103227710,8606631,8608138,chr1,NC_023642.1
MAP3K11,gene-MAP3K11,8625431,8639049,chr1,NC_023642.1
LOC103227592,gene-LOC103227592,8630334,8630725,chr1,NC_023642.1
KCNK7,gene-KCNK7,8644038,8648132,chr1,NC_023642.1
EHBP1L1,gene-EHBP1L1,8648318,8664990,chr1,NC_023642.1
LOC103228554,gene-LOC103228554,8665108,8665633,chr1,NC_023642.1
FAM89B,gene-FAM89B,8666812,8669128,chr1,NC_023642.1
SSSCA1,gene-SSSCA1,8669227,8670594,chr1,NC_023642.1
LTBP3,gene-LTBP3,8681140,8700721,chr1,NC_023642.1
SCYL1,gene-SCYL1,8700828,8714571,chr1,NC_023642.1
LOC103228978,gene-LOC103228978,8740568,8744823,chr1,NC_023642.1
LOC103229027,gene-LOC103229027,8753025,8754710,chr1,NC_023642.1
LOC103241899,gene-LOC103241899,8810233,8824596,chr1,NC_023642.1
FRMD8,gene-FRMD8,8824966,8853292,chr1,NC_023642.1
SLC25A45,gene-SLC25A45,8857346,8865517,chr1,NC_023642.1
TIGD3,gene-TIGD3,8883893,8886685,chr1,NC_023642.1
DPF2,gene-DPF2,8888534,8908446,chr1,NC_023642.1
CDC42EP2,gene-CDC42EP2,8914214,8921031,chr1,NC_023642.1
POLA2,gene-POLA2,8940102,8977049,chr1,NC_023642.1
SLC22A20,gene-SLC22A20,8985585,9012420,chr1,NC_023642.1
LOC103230638,gene-LOC103230638,9013527,9015015,chr1,NC_023642.1
CAPN1,gene-CAPN1,9014087,9050389,chr1,NC_023642.1
SPDYC,gene-SPDYC,9057110,9093558,chr1,NC_023642.1
SYVN1,gene-SYVN1,9093657,9101245,chr1,NC_023642.1
LOC103230055,gene-LOC103230055,9101155,9102090,chr1,NC_023642.1
MRPL49,gene-MRPL49,9102593,9106600,chr1,NC_023642.1
FAU,gene-FAU,9106708,9108284,chr1,NC_023642.1
ZNHIT2,gene-ZNHIT2,9110533,9112359,chr1,NC_023642.1
TM7SF2,gene-TM7SF2,9112528,9117201,chr1,NC_023642.1
VPS51,gene-VPS51,9117080,9142070,chr1,NC_023642.1
TMEM262,gene-TMEM262,9145779,9147218,chr1,NC_023642.1
ZFPL1,gene-ZFPL1,9147190,9151350,chr1,NC_023642.1
CDCA5,gene-CDCA5,9151503,9157412,chr1,NC_023642.1
LOC103241905,gene-LOC103241905,9167930,9170334,chr1,NC_023642.1
NAALADL1,gene-NAALADL1,9175615,9189586,chr1,NC_023642.1
SAC3D1,gene-SAC3D1,9189576,9193737,chr1,NC_023642.1
SNX15,gene-SNX15,9193821,9206079,chr1,NC_023642.1
ARL2,gene-ARL2,9212903,9219985,chr1,NC_023642.1
BATF2,gene-BATF2,9220087,9248964,chr1,NC_023642.1
C1H11orf85,gene-C1H11orf85,9260903,9295888,chr1,NC_023642.1
GPHA2,gene-GPHA2,9296826,9299612,chr1,NC_023642.1
PPP2R5B,gene-PPP2R5B,9299609,9309357,chr1,NC_023642.1
ATG2A,gene-ATG2A,9316567,9339244,chr1,NC_023642.1
EHD1,gene-EHD1,9356128,9382204,chr1,NC_023642.1
CDC42BPG,gene-CDC42BPG,9390874,9411503,chr1,NC_023642.1
MEN1,gene-MEN1,9423885,9431123,chr1,NC_023642.1
MAP4K2,gene-MAP4K2,9437953,9449539,chr1,NC_023642.1
SF1,gene-SF1,9456524,9470920,chr1,NC_023642.1
PYGM,gene-PYGM,9474539,9490612,chr1,NC_023642.1
RASGRP2,gene-RASGRP2,9483557,9508920,chr1,NC_023642.1
NRXN2,gene-NRXN2,9522501,9629799,chr1,NC_023642.1
LOC103233180,gene-LOC103233180,9588324,9592456,chr1,NC_023642.1
SLC22A12,gene-SLC22A12,9633589,9644519,chr1,NC_023642.1
SLC22A11,gene-SLC22A11,9664015,9680559,chr1,NC_023642.1
LOC103233211,gene-LOC103233211,9843181,9845834,chr1,NC_023642.1
RPS6KA4,gene-RPS6KA4,9860403,9874440,chr1,NC_023642.1
CCDC88B,gene-CCDC88B,9875909,9892893,chr1,NC_023642.1
PRDX5,gene-PRDX5,9912947,9917439,chr1,NC_023642.1
TRMT112,gene-TRMT112,9916884,9918790,chr1,NC_023642.1
ESRRA,gene-ESRRA,9918741,9929481,chr1,NC_023642.1
TEX40,gene-TEX40,9930186,9934024,chr1,NC_023642.1
KCNK4,gene-KCNK4,9934174,9942815,chr1,NC_023642.1
GPR137,gene-GPR137,9944971,9949623,chr1,NC_023642.1
BAD,gene-BAD,9949717,9964433,chr1,NC_023642.1
PLCB3,gene-PLCB3,9964850,9982573,chr1,NC_023642.1
LOC103233298,gene-LOC103233298,9980790,9989289,chr1,NC_023642.1
PPP1R14B,gene-PPP1R14B,9989540,9991940,chr1,NC_023642.1
FKBP2,gene-FKBP2,9992278,9995448,chr1,NC_023642.1
VEGFB,gene-VEGFB,9997820,10001518,chr1,NC_023642.1
DNAJC4,gene-DNAJC4,10001620,10005952,chr1,NC_023642.1
NUDT22,gene-NUDT22,10006096,10009529,chr1,NC_023642.1
TRPT1,gene-TRPT1,10009559,10012005,chr1,NC_023642.1
FERMT3,gene-FERMT3,10012007,10031177,chr1,NC_023642.1
STIP1,gene-STIP1,10033317,10052406,chr1,NC_023642.1
MACROD1,gene-MACROD1,10072238,10247121,chr1,NC_023642.1
LOC103233499,gene-LOC103233499,10077197,10080750,chr1,NC_023642.1
FLRT1,gene-FLRT1,10120931,10205351,chr1,NC_023642.1
OTUB1,gene-OTUB1,10247260,10271026,chr1,NC_023642.1
LOC103233475,gene-LOC103233475,10269020,10271484,chr1,NC_023642.1
NAA40,gene-NAA40,10289015,10307909,chr1,NC_023642.1
RCOR2,gene-RCOR2,10330137,10336485,chr1,NC_023642.1
MARK2,gene-MARK2,10336690,10410539,chr1,NC_023642.1
LOC103233560,gene-LOC103233560,10410039,10411419,chr1,NC_023642.1
C1H11orf84,gene-C1H11orf84,10422142,10437460,chr1,NC_023642.1
LOC103233619,gene-LOC103233619,10430528,10431099,chr1,NC_023642.1
LOC103233617,gene-LOC103233617,10437225,10458320,chr1,NC_023642.1
C1H11orf95,gene-C1H11orf95,10477832,10484860,chr1,NC_023642.1
RTN3,gene-RTN3,10485943,10559725,chr1,NC_023642.1
ATL3,gene-ATL3,10569052,10611518,chr1,NC_023642.1
PLA2G16,gene-PLA2G16,10632342,10660757,chr1,NC_023642.1
HRASLS2,gene-HRASLS2,10674174,10690323,chr1,NC_023642.1
RARRES3,gene-RARRES3,10695127,10704564,chr1,NC_023642.1
LGALS12,gene-LGALS12,10741778,10762043,chr1,NC_023642.1
HRASLS5,gene-HRASLS5,10774797,10805148,chr1,NC_023642.1
SLC22A9,gene-SLC22A9,10829354,10835838,chr1,NC_023642.1
SLC22A8,gene-SLC22A8,10885895,10909739,chr1,NC_023642.1
SLC22A6,gene-SLC22A6,10918081,10926790,chr1,NC_023642.1
LOC103233793,gene-LOC103233793,10920447,10968355,chr1,NC_023642.1
LOC103233786,gene-LOC103233786,10969707,10971207,chr1,NC_023642.1
CHRM1,gene-CHRM1,10978464,10991650,chr1,NC_023642.1
SLC3A2,gene-SLC3A2,11011351,11050494,chr1,NC_023642.1
LOC103233820,gene-LOC103233820,11050594,11054810,chr1,NC_023642.1
WDR74,gene-WDR74,11063294,11070215,chr1,NC_023642.1
STX5,gene-STX5,11071099,11094880,chr1,NC_023642.1
NXF1,gene-NXF1,11096289,11111186,chr1,NC_023642.1
TMEM223,gene-TMEM223,11111275,11112983,chr1,NC_023642.1
TMEM179B,gene-TMEM179B,11113066,11115863,chr1,NC_023642.1
TAF6L,gene-TAF6L,11115862,11138703,chr1,NC_023642.1
LOC103233864,gene-LOC103233864,11138714,11139546,chr1,NC_023642.1
POLR2G,gene-POLR2G,11140897,11150879,chr1,NC_023642.1
ZBTB3,gene-ZBTB3,11157966,11160582,chr1,NC_023642.1
TTC9C,gene-TTC9C,11166185,11178935,chr1,NC_023642.1
HNRNPUL2,gene-HNRNPUL2,11179711,11194995,chr1,NC_023642.1
BSCL2,gene-BSCL2,11198033,11216709,chr1,NC_023642.1
GNG3,gene-GNG3,11198347,11199952,chr1,NC_023642.1
LRRN4CL,gene-LRRN4CL,11216797,11219438,chr1,NC_023642.1
