seqid,start,end,id,name,seqid_old
chr1,612478,612899,gene-LOC103233792,LOC103233792,NC_023642.1
chr1,617401,620656,gene-RPLP2,RPLP2,NC_023642.1
chr1,626060,631556,gene-PNPLA2,PNPLA2,NC_023642.1
chr1,633694,638403,gene-EFCAB4A,EFCAB4A,NC_023642.1
chr1,639044,645154,gene-CD151,CD151,NC_023642.1
chr1,646747,649196,gene-POLR2L,POLR2L,NC_023642.1
chr1,649316,673317,gene-TSPAN4,TSPAN4,NC_023642.1
chr1,675978,716068,gene-CHID1,CHID1,NC_023642.1
chr1,731616,820191,gene-AP2A2,AP2A2,NC_023642.1
chr1,822052,858589,gene-MUC6,MUC6,NC_023642.1
chr1,858828,870761,gene-LOC103235151,LOC103235151,NC_023642.1
chr1,893554,926854,gene-MUC2,MUC2,NC_023642.1
chr1,914364,916312,gene-LOC103241697,LOC103241697,NC_023642.1
chr1,981515,1018242,gene-MUC5AC,MUC5AC,NC_023642.1
chr1,1040756,1083246,gene-MUC5B,MUC5B,NC_023642.1
chr1,1094535,1127342,gene-TOLLIP,TOLLIP,NC_023642.1
chr1,1148078,1148888,gene-LOC103235445,LOC103235445,NC_023642.1
chr1,1179250,1180997,gene-LOC103241805,LOC103241805,NC_023642.1
chr1,1193740,1258829,gene-BRSK2,BRSK2,NC_023642.1
chr1,1215773,1217050,gene-LOC103236142,LOC103236142,NC_023642.1
chr1,1267041,1338940,gene-MOB2,MOB2,NC_023642.1
chr1,1304646,1316283,gene-LOC103236198,LOC103236198,NC_023642.1
chr1,1359264,1360973,gene-LOC103241812,LOC103241812,NC_023642.1
chr1,1361228,1372599,gene-DUSP8,DUSP8,NC_023642.1
chr1,1372752,1379199,gene-LOC103241820,LOC103241820,NC_023642.1
chr1,1391489,1392237,gene-LOC103236463,LOC103236463,NC_023642.1
chr1,1392253,1404781,gene-LOC103236414,LOC103236414,NC_023642.1
chr1,1445920,1450168,gene-LOC103241837,LOC103241837,NC_023642.1
chr1,1550051,1551550,gene-LOC103236741,LOC103236741,NC_023642.1
chr1,1552785,1570099,gene-IFITM10,IFITM10,NC_023642.1
chr1,1570163,1581857,gene-CTSD,CTSD,NC_023642.1
chr1,1599867,1610810,gene-LOC103241848,LOC103241848,NC_023642.1
chr1,1646125,1657627,gene-SYT8,SYT8,NC_023642.1
chr1,1657631,1661575,gene-TNNI2,TNNI2,NC_023642.1
chr1,1672916,1713160,gene-LOC103237714,LOC103237714,NC_023642.1
chr1,1675372,1678098,gene-LOC103238179,LOC103238179,NC_023642.1
chr1,1718729,1738271,gene-TNNT3,TNNT3,NC_023642.1
chr1,1768292,1777802,gene-MRPL23,MRPL23,NC_023642.1
chr1,1815758,1820906,gene-LOC103241849,LOC103241849,NC_023642.1
chr1,1874457,1875605,gene-LOC103238793,LOC103238793,NC_023642.1
chr1,1929243,1931572,gene-LOC103238863,LOC103238863,NC_023642.1
chr1,1937414,1951238,gene-IGF2,IGF2,NC_023642.1
chr1,1940615,1964476,gene-LOC103241858,LOC103241858,NC_023642.1
chr1,1965128,1969090,gene-INS,INS,NC_023642.1
chr1,1969194,1977263,gene-TH,TH,NC_023642.1
chr1,1980901,1987360,gene-LOC103239289,LOC103239289,NC_023642.1
chr1,2075629,2080462,gene-ASCL2,ASCL2,NC_023642.1
chr1,2106099,2110188,gene-C1H11orf21,C1H11orf21,NC_023642.1
chr1,2110218,2125839,gene-TSPAN32,TSPAN32,NC_023642.1
chr1,2114407,2116829,gene-LOC103239446,LOC103239446,NC_023642.1
chr1,2190896,2211838,gene-CD81,CD81,NC_023642.1
chr1,2215375,2218808,gene-TSSC4,TSSC4,NC_023642.1
chr1,2219427,2239833,gene-TRPM5,TRPM5,NC_023642.1
chr1,2261448,2661840,gene-KCNQ1,KCNQ1,NC_023642.1
chr1,2331350,2332963,gene-LOC103241028,LOC103241028,NC_023642.1
chr1,2493454,2502960,gene-LOC103240971,LOC103240971,NC_023642.1
chr1,2680187,2684930,gene-LOC103241221,LOC103241221,NC_023642.1
chr1,2696382,2699054,gene-CDKN1C,CDKN1C,NC_023642.1
chr1,2699447,2712766,gene-SLC22A18AS,SLC22A18AS,NC_023642.1
chr1,2712792,2737874,gene-SLC22A18,SLC22A18,NC_023642.1
chr1,2741039,2743107,gene-PHLDA2,PHLDA2,NC_023642.1
chr1,2755722,2756946,gene-LOC103242002,LOC103242002,NC_023642.1
chr1,2756859,2802751,gene-NAP1L4,NAP1L4,NC_023642.1
chr1,2812169,2871835,gene-CARS,CARS,NC_023642.1
chr1,2850005,2851216,gene-LOC103242208,LOC103242208,NC_023642.1
chr1,2862778,2863145,gene-LOC103242168,LOC103242168,NC_023642.1
chr1,2870160,2871723,gene-LOC103242043,LOC103242043,NC_023642.1
chr1,2903630,2985565,gene-OSBPL5,OSBPL5,NC_023642.1
chr1,2963631,2986895,gene-LOC103241863,LOC103241863,NC_023642.1
chr1,3015301,3025842,gene-LOC103242726,LOC103242726,NC_023642.1
chr1,3035191,3038635,gene-MRGPRG,MRGPRG,NC_023642.1
chr1,3039400,3040482,gene-LOC103242785,LOC103242785,NC_023642.1
chr1,3041908,3049499,gene-MRGPRE,MRGPRE,NC_023642.1
chr1,3064464,3083453,gene-LOC103242972,LOC103242972,NC_023642.1
chr1,3086113,3112017,gene-ZNF195,ZNF195,NC_023642.1
chr1,3120043,3127993,gene-LOC103241864,LOC103241864,NC_023642.1
chr1,3132837,3134956,gene-LOC103241868,LOC103241868,NC_023642.1
chr1,3168846,3170189,gene-LOC103241874,LOC103241874,NC_023642.1
chr1,3174627,3177792,gene-LOC103243359,LOC103243359,NC_023642.1
chr1,3189054,3243087,gene-NADSYN1,NADSYN1,NC_023642.1
chr1,3243263,3257332,gene-DHCR7,DHCR7,NC_023642.1
chr1,3263174,3268718,gene-LOC103244038,LOC103244038,NC_023642.1
chr1,3268730,3309975,gene-LOC103244089,LOC103244089,NC_023642.1
chr1,3324453,3329134,gene-LOC103244329,LOC103244329,NC_023642.1
chr1,3421075,3422279,gene-LOC103244373,LOC103244373,NC_023642.1
chr1,3424926,3460647,gene-LOC103244990,LOC103244990,NC_023642.1
chr1,3453268,4104515,gene-SHANK2,SHANK2,NC_023642.1
chr1,3687007,3688080,gene-LOC103244580,LOC103244580,NC_023642.1
chr1,3690506,3691266,gene-LOC103244535,LOC103244535,NC_023642.1
chr1,3874561,3875497,gene-LOC103244421,LOC103244421,NC_023642.1
chr1,4139045,4176962,gene-CTTN,CTTN,NC_023642.1
chr1,4144209,4146010,gene-LOC103245420,LOC103245420,NC_023642.1
chr1,4176540,4188281,gene-LOC103245379,LOC103245379,NC_023642.1
chr1,4184592,4302677,gene-PPFIA1,PPFIA1,NC_023642.1
chr1,4207318,4207856,gene-LOC103245132,LOC103245132,NC_023642.1
chr1,4213234,4215584,gene-LOC103245088,LOC103245088,NC_023642.1
chr1,4341269,4343492,gene-LOC103245679,LOC103245679,NC_023642.1
chr1,4358314,4361863,gene-FADD,FADD,NC_023642.1
chr1,4361672,4362415,gene-LOC103245724,LOC103245724,NC_023642.1
chr1,4373256,4581914,gene-ANO1,ANO1,NC_023642.1
chr1,4483674,4496614,gene-LOC103245820,LOC103245820,NC_023642.1
chr1,4746195,4755654,gene-FGF3,FGF3,NC_023642.1
chr1,4786296,4791441,gene-FGF4,FGF4,NC_023642.1
chr1,4852289,4860139,gene-FGF19,FGF19,NC_023642.1
chr1,4879341,4884252,gene-LOC103246443,LOC103246443,NC_023642.1
chr1,4888769,4900379,gene-ORAOV1,ORAOV1,NC_023642.1
chr1,4909616,4922272,gene-CCND1,CCND1,NC_023642.1
chr1,5100690,5110533,gene-LOC103247017,LOC103247017,NC_023642.1
chr1,5180902,5181877,gene-LOC103247076,LOC103247076,NC_023642.1
chr1,5268229,5269105,gene-MYEOV,MYEOV,NC_023642.1
chr1,5313149,5354109,gene-LOC103247204,LOC103247204,NC_023642.1
chr1,5465425,5466769,gene-LOC103247706,LOC103247706,NC_023642.1
chr1,5491476,5529015,gene-TPCN2,TPCN2,NC_023642.1
chr1,5555636,5559155,gene-LOC103247781,LOC103247781,NC_023642.1
chr1,5559186,5569839,gene-MRGPRF,MRGPRF,NC_023642.1
chr1,5578327,5597564,gene-LOC103248150,LOC103248150,NC_023642.1
chr1,5591179,5593796,gene-MRGPRD,MRGPRD,NC_023642.1
chr1,5619138,5655033,gene-IGHMBP2,IGHMBP2,NC_023642.1
chr1,5627770,5628462,gene-LOC103248293,LOC103248293,NC_023642.1
chr1,5630661,5631478,gene-LOC103248244,LOC103248244,NC_023642.1
chr1,5655043,5667452,gene-MRPL21,MRPL21,NC_023642.1
chr1,5683538,5692915,gene-LOC103248420,LOC103248420,NC_023642.1
chr1,5702790,5703764,gene-LOC103248586,LOC103248586,NC_023642.1
chr1,5703798,5719912,gene-LOC103241878,LOC103241878,NC_023642.1
chr1,5704275,5784077,gene-CPT1A,CPT1A,NC_023642.1
chr1,5788231,5834900,gene-MTL5,MTL5,NC_023642.1
chr1,5849947,5857355,gene-GAL,GAL,NC_023642.1
chr1,5857097,5857824,gene-LOC103248684,LOC103248684,NC_023642.1
chr1,5920097,6073847,gene-PPP6R3,PPP6R3,NC_023642.1
chr1,6090048,6224956,gene-LRP5,LRP5,NC_023642.1
chr1,6163637,6168104,gene-LOC103214741,LOC103214741,NC_023642.1
chr1,6212097,6213290,gene-LOC103214713,LOC103214713,NC_023642.1
chr1,6261118,6272953,gene-C1H11orf24,C1H11orf24,NC_023642.1
chr1,6308565,6367272,gene-SUV420H1,SUV420H1,NC_023642.1
chr1,6411606,6482508,gene-CHKA,CHKA,NC_023642.1
chr1,6484469,6497008,gene-TCIRG1,TCIRG1,NC_023642.1
chr1,6499371,6505685,gene-NDUFS8,NDUFS8,NC_023642.1
chr1,6507668,6533630,gene-ALDH3B1,ALDH3B1,NC_023642.1
chr1,6537198,6549457,gene-UNC93B1,UNC93B1,NC_023642.1
chr1,6594240,6607230,gene-ALDH3B2,ALDH3B2,NC_023642.1
chr1,6623195,6640000,gene-LOC103216261,LOC103216261,NC_023642.1
chr1,6641316,6643353,gene-NUDT8,NUDT8,NC_023642.1
chr1,6646588,6650438,gene-LOC103216432,LOC103216432,NC_023642.1
chr1,6650547,6656185,gene-NDUFV1,NDUFV1,NC_023642.1
chr1,6676897,6679936,gene-GSTP1,GSTP1,NC_023642.1
chr1,6718741,6721961,gene-LOC103216792,LOC103216792,NC_023642.1
chr1,6741202,6744931,gene-CABP2,CABP2,NC_023642.1
chr1,6756853,6759087,gene-CDK2AP2,CDK2AP2,NC_023642.1
chr1,6760208,6774006,gene-PITPNM1,PITPNM1,NC_023642.1
chr1,6774648,6783095,gene-AIP,AIP,NC_023642.1
chr1,6794195,6799206,gene-TMEM134,TMEM134,NC_023642.1
chr1,6804761,6810277,gene-CABP4,CABP4,NC_023642.1
chr1,6810791,6814497,gene-GPR152,GPR152,NC_023642.1
chr1,6820298,6825778,gene-CORO1B,CORO1B,NC_023642.1
chr1,6825821,6828305,gene-PTPRCAP,PTPRCAP,NC_023642.1
chr1,6828413,6836176,gene-RPS6KB2,RPS6KB2,NC_023642.1
chr1,6838960,6849542,gene-CARNS1,CARNS1,NC_023642.1
chr1,6854259,6860709,gene-TBC1D10C,TBC1D10C,NC_023642.1
chr1,6862536,6866212,gene-PPP1CA,PPP1CA,NC_023642.1
chr1,6865990,6945179,gene-RAD9A,RAD9A,NC_023642.1
chr1,6890751,6900370,gene-CLCF1,CLCF1,NC_023642.1
chr1,6910044,6912134,gene-POLD4,POLD4,NC_023642.1
chr1,6951130,6960445,gene-SSH3,SSH3,NC_023642.1
chr1,6960539,6972456,gene-ANKRD13D,ANKRD13D,NC_023642.1
chr1,6975202,6995369,gene-ADRBK1,ADRBK1,NC_023642.1
chr1,7004109,7152072,gene-KDM2A,KDM2A,NC_023642.1
chr1,7152568,7159149,gene-LOC103219355,LOC103219355,NC_023642.1
chr1,7159307,7162793,gene-LOC103219529,LOC103219529,NC_023642.1
chr1,7196999,7215239,gene-RHOD,RHOD,NC_023642.1
chr1,7222090,7248406,gene-SYT12,SYT12,NC_023642.1
chr1,7286315,7288261,gene-C1H11orf86,C1H11orf86,NC_023642.1
chr1,7310738,7418357,gene-PC,PC,NC_023642.1
chr1,7406502,7409707,gene-LRFN4,LRFN4,NC_023642.1
chr1,7420221,7526495,gene-LOC103220516,LOC103220516,NC_023642.1
chr1,7513161,7516197,gene-LOC103220338,LOC103220338,NC_023642.1
chr1,7543035,7588125,gene-SPTBN2,SPTBN2,NC_023642.1
chr1,7589406,7590936,gene-LOC103221555,LOC103221555,NC_023642.1
chr1,7594565,7607824,gene-RBM4B,RBM4B,NC_023642.1
chr1,7604440,7638536,gene-RBM4,RBM4,NC_023642.1
chr1,7649975,7665531,gene-LOC103221763,LOC103221763,NC_023642.1
chr1,7670137,7686389,gene-CCS,CCS,NC_023642.1
chr1,7686514,7689390,gene-CCDC87,CCDC87,NC_023642.1
chr1,7703584,7708709,gene-CTSF,CTSF,NC_023642.1
chr1,7708595,7724634,gene-LOC103222397,LOC103222397,NC_023642.1
chr1,7725246,7732848,gene-ZDHHC24,ZDHHC24,NC_023642.1
chr1,7737887,7765022,gene-BBS1,BBS1,NC_023642.1
chr1,7766110,7797152,gene-DPP3,DPP3,NC_023642.1
chr1,7800430,7811226,gene-PELI3,PELI3,NC_023642.1
chr1,7811313,7825094,gene-LOC103222589,LOC103222589,NC_023642.1
chr1,7844554,7847201,gene-MRPL11,MRPL11,NC_023642.1
chr1,7856222,7874812,gene-NPAS4,NPAS4,NC_023642.1
chr1,7904813,7914344,gene-SLC29A2,SLC29A2,NC_023642.1
chr1,7916896,7917151,gene-LOC103223043,LOC103223043,NC_023642.1
chr1,7929205,7929286,gene-TRNAS-GCU,TRNAS-GCU,NC_023642.1
chr1,7929712,7932034,gene-B3GNT1,B3GNT1,NC_023642.1
chr1,7932276,7940144,gene-BRMS1,BRMS1,NC_023642.1
chr1,7940856,7945419,gene-RIN1,RIN1,NC_023642.1
chr1,7958583,7961159,gene-CD248,CD248,NC_023642.1
chr1,7970012,7974954,gene-TMEM151A,TMEM151A,NC_023642.1
chr1,7977690,7982313,gene-YIF1A,YIF1A,NC_023642.1
chr1,7982685,7988834,gene-CNIH2,CNIH2,NC_023642.1
chr1,7989521,7998371,gene-RAB1B,RAB1B,NC_023642.1
chr1,7999113,8009543,gene-KLC2,KLC2,NC_023642.1
chr1,8022930,8024377,gene-LOC103224576,LOC103224576,NC_023642.1
chr1,8023496,8188192,gene-PACS1,PACS1,NC_023642.1
chr1,8189636,8207024,gene-SF3B2,SF3B2,NC_023642.1
chr1,8210003,8217503,gene-GAL3ST3,GAL3ST3,NC_023642.1
chr1,8231436,8241189,gene-CATSPER1,CATSPER1,NC_023642.1
chr1,8244483,8246551,gene-CST6,CST6,NC_023642.1
chr1,8254186,8255571,gene-BANF1,BANF1,NC_023642.1
chr1,8255904,8259278,gene-EIF1AD,EIF1AD,NC_023642.1
chr1,8274661,8276522,gene-LOC103225234,LOC103225234,NC_023642.1
chr1,8279821,8296282,gene-SART1,SART1,NC_023642.1
chr1,8297479,8314162,gene-TSGA10IP,TSGA10IP,NC_023642.1
chr1,8336085,8338393,gene-DRAP1,DRAP1,NC_023642.1
chr1,8338524,8340838,gene-C1H11orf68,C1H11orf68,NC_023642.1
chr1,8356263,8365606,gene-FOSL1,FOSL1,NC_023642.1
chr1,8366166,8367670,gene-CCDC85B,CCDC85B,NC_023642.1
chr1,8369279,8374246,gene-FIBP,FIBP,NC_023642.1
chr1,8374426,8378496,gene-CTSW,CTSW,NC_023642.1
chr1,8384212,8391501,gene-EFEMP2,EFEMP2,NC_023642.1
chr1,8393897,8394528,gene-LOC103226570,LOC103226570,NC_023642.1
chr1,8394618,8426155,gene-SNX32,SNX32,NC_023642.1
chr1,8405652,8408060,gene-LOC103226393,LOC103226393,NC_023642.1
chr1,8408560,8410564,gene-CFL1,CFL1,NC_023642.1
chr1,8409972,8410294,gene-LOC103226358,LOC103226358,NC_023642.1
chr1,8410571,8411793,gene-MUS81,MUS81,NC_023642.1
chr1,8426336,8458820,gene-LOC103225990,LOC103225990,NC_023642.1
chr1,8467048,8470018,gene-LOC103226718,LOC103226718,NC_023642.1
chr1,8470065,8480406,gene-OVOL1,OVOL1,NC_023642.1
chr1,8484076,8487635,gene-AP5B1,AP5B1,NC_023642.1
chr1,8526761,8535984,gene-RNASEH2C,RNASEH2C,NC_023642.1
chr1,8528097,8544512,gene-KAT5,KAT5,NC_023642.1
chr1,8539764,8561199,gene-LOC103226939,LOC103226939,NC_023642.1
chr1,8576059,8585561,gene-RELA,RELA,NC_023642.1
chr1,8588221,8601310,gene-SIPA1,SIPA1,NC_023642.1
chr1,8601944,8625289,gene-PCNXL3,PCNXL3,NC_023642.1
chr1,8606631,8608138,gene-LOC103227710,LOC103227710,NC_023642.1
chr1,8625431,8639049,gene-MAP3K11,MAP3K11,NC_023642.1
chr1,8630334,8630725,gene-LOC103227592,LOC103227592,NC_023642.1
chr1,8644038,8648132,gene-KCNK7,KCNK7,NC_023642.1
chr1,8648318,8664990,gene-EHBP1L1,EHBP1L1,NC_023642.1
chr1,8665108,8665633,gene-LOC103228554,LOC103228554,NC_023642.1
chr1,8666812,8669128,gene-FAM89B,FAM89B,NC_023642.1
chr1,8669227,8670594,gene-SSSCA1,SSSCA1,NC_023642.1
chr1,8681140,8700721,gene-LTBP3,LTBP3,NC_023642.1
chr1,8700828,8714571,gene-SCYL1,SCYL1,NC_023642.1
chr1,8740568,8744823,gene-LOC103228978,LOC103228978,NC_023642.1
chr1,8753025,8754710,gene-LOC103229027,LOC103229027,NC_023642.1
chr1,8810233,8824596,gene-LOC103241899,LOC103241899,NC_023642.1
chr1,8824966,8853292,gene-FRMD8,FRMD8,NC_023642.1
chr1,8857346,8865517,gene-SLC25A45,SLC25A45,NC_023642.1
chr1,8883893,8886685,gene-TIGD3,TIGD3,NC_023642.1
chr1,8888534,8908446,gene-DPF2,DPF2,NC_023642.1
chr1,8914214,8921031,gene-CDC42EP2,CDC42EP2,NC_023642.1
chr1,8940102,8977049,gene-POLA2,POLA2,NC_023642.1
chr1,8985585,9012420,gene-SLC22A20,SLC22A20,NC_023642.1
chr1,9013527,9015015,gene-LOC103230638,LOC103230638,NC_023642.1
chr1,9014087,9050389,gene-CAPN1,CAPN1,NC_023642.1
chr1,9057110,9093558,gene-SPDYC,SPDYC,NC_023642.1
chr1,9093657,9101245,gene-SYVN1,SYVN1,NC_023642.1
chr1,9101155,9102090,gene-LOC103230055,LOC103230055,NC_023642.1
chr1,9102593,9106600,gene-MRPL49,MRPL49,NC_023642.1
chr1,9106708,9108284,gene-FAU,FAU,NC_023642.1
chr1,9110533,9112359,gene-ZNHIT2,ZNHIT2,NC_023642.1
chr1,9112528,9117201,gene-TM7SF2,TM7SF2,NC_023642.1
chr1,9117080,9142070,gene-VPS51,VPS51,NC_023642.1
chr1,9145779,9147218,gene-TMEM262,TMEM262,NC_023642.1
chr1,9147190,9151350,gene-ZFPL1,ZFPL1,NC_023642.1
chr1,9151503,9157412,gene-CDCA5,CDCA5,NC_023642.1
chr1,9167930,9170334,gene-LOC103241905,LOC103241905,NC_023642.1
chr1,9175615,9189586,gene-NAALADL1,NAALADL1,NC_023642.1
chr1,9189576,9193737,gene-SAC3D1,SAC3D1,NC_023642.1
chr1,9193821,9206079,gene-SNX15,SNX15,NC_023642.1
chr1,9212903,9219985,gene-ARL2,ARL2,NC_023642.1
chr1,9220087,9248964,gene-BATF2,BATF2,NC_023642.1
chr1,9260903,9295888,gene-C1H11orf85,C1H11orf85,NC_023642.1
chr1,9296826,9299612,gene-GPHA2,GPHA2,NC_023642.1
chr1,9299609,9309357,gene-PPP2R5B,PPP2R5B,NC_023642.1
chr1,9316567,9339244,gene-ATG2A,ATG2A,NC_023642.1
chr1,9356128,9382204,gene-EHD1,EHD1,NC_023642.1
chr1,9390874,9411503,gene-CDC42BPG,CDC42BPG,NC_023642.1
chr1,9423885,9431123,gene-MEN1,MEN1,NC_023642.1
chr1,9437953,9449539,gene-MAP4K2,MAP4K2,NC_023642.1
chr1,9456524,9470920,gene-SF1,SF1,NC_023642.1
chr1,9474539,9490612,gene-PYGM,PYGM,NC_023642.1
chr1,9483557,9508920,gene-RASGRP2,RASGRP2,NC_023642.1
chr1,9522501,9629799,gene-NRXN2,NRXN2,NC_023642.1
chr1,9588324,9592456,gene-LOC103233180,LOC103233180,NC_023642.1
chr1,9633589,9644519,gene-SLC22A12,SLC22A12,NC_023642.1
chr1,9664015,9680559,gene-SLC22A11,SLC22A11,NC_023642.1
chr1,9843181,9845834,gene-LOC103233211,LOC103233211,NC_023642.1
chr1,9860403,9874440,gene-RPS6KA4,RPS6KA4,NC_023642.1
chr1,9875909,9892893,gene-CCDC88B,CCDC88B,NC_023642.1
chr1,9912947,9917439,gene-PRDX5,PRDX5,NC_023642.1
chr1,9916884,9918790,gene-TRMT112,TRMT112,NC_023642.1
chr1,9918741,9929481,gene-ESRRA,ESRRA,NC_023642.1
chr1,9930186,9934024,gene-TEX40,TEX40,NC_023642.1
chr1,9934174,9942815,gene-KCNK4,KCNK4,NC_023642.1
chr1,9944971,9949623,gene-GPR137,GPR137,NC_023642.1
chr1,9949717,9964433,gene-BAD,BAD,NC_023642.1
chr1,9964850,9982573,gene-PLCB3,PLCB3,NC_023642.1
chr1,9980790,9989289,gene-LOC103233298,LOC103233298,NC_023642.1
chr1,9989540,9991940,gene-PPP1R14B,PPP1R14B,NC_023642.1
chr1,9992278,9995448,gene-FKBP2,FKBP2,NC_023642.1
chr1,9997820,10001518,gene-VEGFB,VEGFB,NC_023642.1
chr1,10001620,10005952,gene-DNAJC4,DNAJC4,NC_023642.1
chr1,10006096,10009529,gene-NUDT22,NUDT22,NC_023642.1
chr1,10009559,10012005,gene-TRPT1,TRPT1,NC_023642.1
chr1,10012007,10031177,gene-FERMT3,FERMT3,NC_023642.1
chr1,10033317,10052406,gene-STIP1,STIP1,NC_023642.1
chr1,10072238,10247121,gene-MACROD1,MACROD1,NC_023642.1
chr1,10077197,10080750,gene-LOC103233499,LOC103233499,NC_023642.1
chr1,10120931,10205351,gene-FLRT1,FLRT1,NC_023642.1
chr1,10247260,10271026,gene-OTUB1,OTUB1,NC_023642.1
chr1,10269020,10271484,gene-LOC103233475,LOC103233475,NC_023642.1
chr1,10289015,10307909,gene-NAA40,NAA40,NC_023642.1
chr1,10330137,10336485,gene-RCOR2,RCOR2,NC_023642.1
chr1,10336690,10410539,gene-MARK2,MARK2,NC_023642.1
chr1,10410039,10411419,gene-LOC103233560,LOC103233560,NC_023642.1
chr1,10422142,10437460,gene-C1H11orf84,C1H11orf84,NC_023642.1
chr1,10430528,10431099,gene-LOC103233619,LOC103233619,NC_023642.1
chr1,10437225,10458320,gene-LOC103233617,LOC103233617,NC_023642.1
chr1,10477832,10484860,gene-C1H11orf95,C1H11orf95,NC_023642.1
chr1,10485943,10559725,gene-RTN3,RTN3,NC_023642.1
chr1,10569052,10611518,gene-ATL3,ATL3,NC_023642.1
chr1,10632342,10660757,gene-PLA2G16,PLA2G16,NC_023642.1
chr1,10674174,10690323,gene-HRASLS2,HRASLS2,NC_023642.1
chr1,10695127,10704564,gene-RARRES3,RARRES3,NC_023642.1
chr1,10741778,10762043,gene-LGALS12,LGALS12,NC_023642.1
chr1,10774797,10805148,gene-HRASLS5,HRASLS5,NC_023642.1
chr1,10829354,10835838,gene-SLC22A9,SLC22A9,NC_023642.1
chr1,10885895,10909739,gene-SLC22A8,SLC22A8,NC_023642.1
chr1,10918081,10926790,gene-SLC22A6,SLC22A6,NC_023642.1
chr1,10920447,10968355,gene-LOC103233793,LOC103233793,NC_023642.1
chr1,10969707,10971207,gene-LOC103233786,LOC103233786,NC_023642.1
chr1,10978464,10991650,gene-CHRM1,CHRM1,NC_023642.1
chr1,11011351,11050494,gene-SLC3A2,SLC3A2,NC_023642.1
chr1,11050594,11054810,gene-LOC103233820,LOC103233820,NC_023642.1
chr1,11063294,11070215,gene-WDR74,WDR74,NC_023642.1
chr1,11071099,11094880,gene-STX5,STX5,NC_023642.1
chr1,11096289,11111186,gene-NXF1,NXF1,NC_023642.1
chr1,11111275,11112983,gene-TMEM223,TMEM223,NC_023642.1
chr1,11113066,11115863,gene-TMEM179B,TMEM179B,NC_023642.1
chr1,11115862,11138703,gene-TAF6L,TAF6L,NC_023642.1
chr1,11138714,11139546,gene-LOC103233864,LOC103233864,NC_023642.1
chr1,11140897,11150879,gene-POLR2G,POLR2G,NC_023642.1
chr1,11157966,11160582,gene-ZBTB3,ZBTB3,NC_023642.1
chr1,11166185,11178935,gene-TTC9C,TTC9C,NC_023642.1
chr1,11179711,11194995,gene-HNRNPUL2,HNRNPUL2,NC_023642.1
chr1,11198033,11216709,gene-BSCL2,BSCL2,NC_023642.1
chr1,11198347,11199952,gene-GNG3,GNG3,NC_023642.1
chr1,11216797,11219438,gene-LRRN4CL,LRRN4CL,NC_023642.1
